model,metric_type,score,iteration
t5,accuracy,0.792,0
rf-tfidf,accuracy,0.7,0
rf-bow,accuracy,0.716,0
lr-tfidf,accuracy,0.74,0
lf-bow,accuracy,0.716,0
nb-tfidf,accuracy,0.724,0
nb-bow,accuracy,0.724,0
knn-tfidf,accuracy,0.588,0
knn-bow,accuracy,0.616,0
svm-tfidf,accuracy,0.748,0
svm-bow,accuracy,0.72,0
t5,f1,0.7291666666666667,0
rf-tfidf,f1,0.48275862068965514,0
rf-bow,f1,0.5234899328859061,0
lr-tfidf,f1,0.632768361581921,0
lf-bow,f1,0.635897435897436,0
nb-tfidf,f1,0.6461538461538461,0
nb-bow,f1,0.6461538461538461,0
knn-tfidf,f1,0.32679738562091504,0
knn-bow,f1,0.4482758620689655,0
svm-tfidf,f1,0.6400000000000001,0
svm-bow,f1,0.5977011494252874,0
t5,precision,0.7608695652173914,0
rf-tfidf,precision,0.7777777777777778,0
rf-bow,precision,0.7959183673469388,0
lr-tfidf,precision,0.7272727272727273,0
lf-bow,precision,0.6526315789473685,0
nb-tfidf,precision,0.6631578947368421,0
nb-bow,precision,0.6631578947368421,0
knn-tfidf,precision,0.4716981132075472,0
knn-bow,precision,0.527027027027027,0
svm-tfidf,precision,0.7466666666666667,0
svm-bow,precision,0.7027027027027027,0
t5,recall,0.7,0
rf-tfidf,recall,0.35,0
rf-bow,recall,0.39,0
lr-tfidf,recall,0.56,0
lf-bow,recall,0.62,0
nb-tfidf,recall,0.63,0
nb-bow,recall,0.63,0
knn-tfidf,recall,0.25,0
knn-bow,recall,0.39,0
svm-tfidf,recall,0.56,0
svm-bow,recall,0.52,0
t5,accuracy,0.836,1
rf-tfidf,accuracy,0.76,1
rf-bow,accuracy,0.768,1
lr-tfidf,accuracy,0.78,1
lf-bow,accuracy,0.732,1
nb-tfidf,accuracy,0.732,1
nb-bow,accuracy,0.732,1
knn-tfidf,accuracy,0.608,1
knn-bow,accuracy,0.644,1
svm-tfidf,accuracy,0.776,1
svm-bow,accuracy,0.788,1
t5,f1,0.757396449704142,1
rf-tfidf,f1,0.5161290322580645,1
rf-bow,f1,0.532258064516129,1
lr-tfidf,f1,0.6308724832214766,1
lf-bow,f1,0.5939393939393939,1
nb-tfidf,f1,0.5562913907284769,1
nb-bow,f1,0.5562913907284769,1
knn-tfidf,f1,0.20967741935483872,1
knn-bow,f1,0.38620689655172413,1
svm-tfidf,f1,0.6266666666666667,1
svm-bow,f1,0.6187050359712231,1
t5,precision,0.7529411764705882,1
rf-tfidf,precision,0.8,1
rf-bow,precision,0.825,1
lr-tfidf,precision,0.7230769230769231,1
lf-bow,precision,0.6049382716049383,1
nb-tfidf,precision,0.6268656716417911,1
nb-bow,precision,0.6268656716417911,1
knn-tfidf,precision,0.325,1
knn-bow,precision,0.45901639344262296,1
svm-tfidf,precision,0.7121212121212122,1
svm-bow,precision,0.7818181818181819,1
t5,recall,0.7619047619047619,1
rf-tfidf,recall,0.38095238095238093,1
rf-bow,recall,0.39285714285714285,1
lr-tfidf,recall,0.5595238095238095,1
lf-bow,recall,0.5833333333333334,1
nb-tfidf,recall,0.5,1
nb-bow,recall,0.5,1
knn-tfidf,recall,0.15476190476190477,1
knn-bow,recall,0.3333333333333333,1
svm-tfidf,recall,0.5595238095238095,1
svm-bow,recall,0.5119047619047619,1
t5,accuracy,0.864,2
rf-tfidf,accuracy,0.716,2
rf-bow,accuracy,0.728,2
lr-tfidf,accuracy,0.78,2
lf-bow,accuracy,0.692,2
nb-tfidf,accuracy,0.744,2
nb-bow,accuracy,0.744,2
knn-tfidf,accuracy,0.604,2
knn-bow,accuracy,0.672,2
svm-tfidf,accuracy,0.78,2
svm-bow,accuracy,0.788,2
t5,f1,0.826530612244898,2
rf-tfidf,f1,0.5477707006369427,2
rf-bow,f1,0.5584415584415584,2
lr-tfidf,f1,0.6994535519125684,2
lf-bow,f1,0.6051282051282051,2
nb-tfidf,f1,0.663157894736842,2
nb-bow,f1,0.663157894736842,2
knn-tfidf,f1,0.3355704697986577,2
knn-bow,f1,0.5060240963855421,2
svm-tfidf,f1,0.708994708994709,2
svm-bow,f1,0.6971428571428572,2
t5,precision,0.8804347826086957,2
rf-tfidf,precision,0.8113207547169812,2
rf-bow,precision,0.86,2
lr-tfidf,precision,0.810126582278481,2
lf-bow,precision,0.6483516483516484,2
nb-tfidf,precision,0.7325581395348837,2
nb-bow,precision,0.7325581395348837,2
knn-tfidf,precision,0.5555555555555556,2
knn-bow,precision,0.6774193548387096,2
svm-tfidf,precision,0.788235294117647,2
svm-bow,precision,0.8591549295774648,2
t5,recall,0.7788461538461539,2
rf-tfidf,recall,0.41346153846153844,2
rf-bow,recall,0.41346153846153844,2
lr-tfidf,recall,0.6153846153846154,2
lf-bow,recall,0.5673076923076923,2
nb-tfidf,recall,0.6057692307692307,2
nb-bow,recall,0.6057692307692307,2
knn-tfidf,recall,0.2403846153846154,2
knn-bow,recall,0.40384615384615385,2
svm-tfidf,recall,0.6442307692307693,2
svm-bow,recall,0.5865384615384616,2
t5,accuracy,0.828,3
rf-tfidf,accuracy,0.724,3
rf-bow,accuracy,0.676,3
lr-tfidf,accuracy,0.752,3
lf-bow,accuracy,0.736,3
nb-tfidf,accuracy,0.752,3
nb-bow,accuracy,0.752,3
knn-tfidf,accuracy,0.592,3
knn-bow,accuracy,0.668,3
svm-tfidf,accuracy,0.748,3
svm-bow,accuracy,0.76,3
t5,f1,0.774869109947644,3
rf-tfidf,f1,0.5369127516778524,3
rf-bow,f1,0.40875912408759124,3
