model,metric_type,score
t5,accuracy,0.8904494382022472
rf-tfidf,accuracy,0.5814606741573034
rf-bow,accuracy,0.5870786516853933
lr-tfidf,accuracy,0.48314606741573035
lf-bow,accuracy,0.598314606741573
nb-tfidf,accuracy,0.16853932584269662
nb-bow,accuracy,0.16853932584269662
knn-tfidf,accuracy,0.5730337078651685
knn-bow,accuracy,0.6713483146067416
svm-tfidf,accuracy,0.5028089887640449
svm-bow,accuracy,0.6292134831460674
t5,f1,0.7936507936507936
rf-tfidf,f1,0.2660098522167487
rf-bow,f1,0.21390374331550802
lr-tfidf,f1,0.17857142857142858
lf-bow,f1,0.31578947368421056
nb-tfidf,f1,0.11904761904761904
nb-bow,f1,0.11904761904761904
knn-tfidf,f1,0.0617283950617284
knn-bow,f1,0.43478260869565216
svm-tfidf,f1,0.14492753623188406
svm-bow,f1,0.3333333333333333
t5,precision,0.8241758241758241
rf-tfidf,precision,0.2571428571428571
rf-bow,precision,0.2247191011235955
lr-tfidf,precision,0.15873015873015872
lf-bow,precision,0.2972972972972973
nb-tfidf,precision,0.08403361344537816
nb-bow,precision,0.08403361344537816
knn-tfidf,precision,0.078125
knn-bow,precision,0.41284403669724773
svm-tfidf,precision,0.13761467889908258
svm-bow,precision,0.33
t5,recall,0.7653061224489796
rf-tfidf,recall,0.2755102040816326
rf-bow,recall,0.20408163265306123
lr-tfidf,recall,0.20408163265306123
lf-bow,recall,0.336734693877551
nb-tfidf,recall,0.20408163265306123
nb-bow,recall,0.20408163265306123
knn-tfidf,recall,0.05102040816326531
knn-bow,recall,0.45918367346938777
svm-tfidf,recall,0.15306122448979592
svm-bow,recall,0.336734693877551
