source,target,t5_label,t5,actual
"""multilabel classification: aio lock is burning hot --- We have a single, extremely hot, aio lock.  (nni_aio_lock).    This is a serious limit for scalability and performance.  We need to break this up.    There are at least two approaches that can be done.    The simplest, and least dramatic, and probably least beneficial, would simply to break up the expire thread into one thread per cpu core with its own lock, and randomly(?) assign one of these to the aio on initialization.    A smarter, but trickier, approach might be to alter the aios so that they have their own lock, and then to freeze the expire thread when working on them.  This can be a hold and release thing.  Since the expire threads should run only rarely, contention should be relatively infrequent.    A combination of approaches could be used, to further break out contention even on the expiration logic.  (It is the expiration threads that require us to have the single global lock.)    There may be other approaches as well, but initial efforts to use two locks without freezing""",performance,performance,1,1
"""multilabel classification: Build example objects lazily --- This follows on from the work in #1830 of making the example collection *even lazier*.    The basic design principle here is to make `Example` just a thin shim indexing into a more compact representation. This representation stores a compact record of the set of `start_example/stop_example/draw_bits` call and compact representations of any property that has been accessed on an `Example` object for the current collection.    The code involves is... a bit weird. However I genuinely think a decorator that transforms a nested class into a method *is* the nicest way to represent this.    Note that there is now a certain amount of logical redundancy in the code which really should be merged. In particular `Examples` and `Blocks` work quite differently, and `ExampleRecord` and `DataObserver` are fairly similar in how they work. The medium term goal would be to merge as follows:    * `Blocks` would move to work like `Examples` does in this PR.  * `DataTree` would gain some of the logic from `E""",performance,performance,1,1
"""multilabel classification: When hazelcast is chosen as clustering provider & 2nd level cache for hibernate, fast profile will not work --- """,bug,performance,1,0
multilabel classification: Error 500 instead of 401 on XAuthTokenFilter.doFilter when an AuthenticationException is thrown --- ,bug,bug,0,0
"""multilabel classification: Initial implementation of the new Base Game Template --- Initial implementation of the new Base Game Template and some starting modules.    This makes some tweaks to the engine to support this, specifically, it tweaks the hardcoded shaderpaths to defer to a pref variable, so none of the shader paths are hardcoded.    Also tweaks how post effects read in texture files, removing a bizzare filepath interpretation choice, where if the file path didn't start with / it forcefully appended the script's file path. This made it impossible to have images not in the same dir as the script file defining the post effect.    This was changed and the existing template's post effects tweaked for now to just add ./ to those few paths impacted, as well as the perf vars to support the non-hardcoded shader paths in the engine.""",feature,feature,0,0
"""multilabel classification: Temporary decals as a save/load feature. --- The unintended saving of decal files in #2178 leads me to think that saving/loading temporary decals could be useful for some game types/levels, particularly if those decals have very long lifespans such as explosion scorch marks for example.""",feature,feature,0,0
"""multilabel classification: Implements a simple version of stall-on-demand for CH queries. --- This is a simple version of stall-on-demand that leads to a 1.5x speed up of CH queries on the osm map for Germany. Also see discussion in: https://github.com/graphhopper/graphhopper/issues/240.  I put the stall-on-demand version of the bidirectional ch dijkstra into a separate class, because PrepareContractionHierarchies already seems very large (?). I thought it would be better to leave it up to configuration whether stall-on-demand is used or not. I also added some measurement tests for stall on demand in the measurement class. Not sure if this is really needed, but for testing it is helpful at the moment. I might test some of the more aggressive versions of stall on demand if I find the time.""",feature,performance,1,0
multilabel classification: React : Component unit test cases are excluded from Jest configuration --- ,bug,bug,0,0
"""multilabel classification: Slow speed on _out to a file --- Hi,  We're using sh 1.11 because of 1.12 breaks most of our code.    Our workflow is like this.  - We call a app and tell it the input file (approx 25G)  - That app outputs to stdout (unfortunately)  - We redirect output to a file (approx 40G)    In this case, bash finished 3-4 times faster. For applications that support outputting to a file, we use that but for applications that output to stdout only, we're stuck with sh's _out option.    We usually don't use piping and this is an issue of output redirection""",performance,performance,1,1
multilabel classification: Jest did not exit one second after the test run has completed. --- ,bug,bug,0,0
"""multilabel classification: Small performance patch for Numpy arrays --- By removing the overhead of composite when it's not needed (I did say small!).    This also makes it very easy to deprecate passing a strategy for shape and/or dtype later, which I find seriously tempting.  Looking at new shape-dependent strategies from #1829 and #1784, I think we might want to push users in the direction of either use a constant shape, or use `@composite` or `data()` to combine several shape-dependent things.    But it's not clear when that might land or whether we want deprecate passing a strategy for dtype too, and we have until midyear to finalise any deprecations for 5.0, so I'm holding off for now.""",performance,performance,1,1
multilabel classification: Wrong number of users in user management table pager --- ,bug,bug,0,0
multilabel classification: Jest is 3x slower on all windows machines (Windows 10 and lower) --- ,bug,performance,1,0
"""multilabel classification: Accessing completion attributes is very slow ---   This code takes 6.6s on my laptop.  Removing the line mentioned above, it then goes down to 0.5s.    Any idea on why this happens and how the completion can be made faster?""",performance,performance,1,1
"""multilabel classification: Adds the getSignedAngleBetweenVectors function --- Adds the getSignedAngleBetweenVectors function, which is like the existing getAngleBetweenVectors, but will returned a signed angle value, which helps to inform the full 360 angle, rather than the 'nearest 180'.""",feature,feature,0,0
multilabel classification: Ci-Cd Jenkins - Frontend tests finally stage does not work : No result on reports ! --- ,bug,bug,0,0
multilabel classification: Benchmark eval_bit in univariate polynomial for different integer types --- See https://github.com/symengine/symengine/pull/875#discussion_r56742454 ,performance,performance,1,1
multilabel classification: login failure on new jhipster project with mongo and oauth2 --- ,bug,bug,0,0
"""multilabel classification: Issue 289; Adding country functionality --- Added country functionality. - grunt data adds countries to packed and unpacked data from meta data - Now can parse either Zone or Country code, if country, will return an array with a moment for each zone within the country. Did consider adding all moments methods to array methods however decided not to because it is bad practice and the user can apply the moment methods to the array using .map . All of the moments within the array will be of different zones within the country however some of the zones may have the same time, it is for the user to filter the ones they want or find the unique times. - Added user endpoints added such as: tz._countries, tz.addCountry, tz.addZonetoCountry, tz.removeZonefromCountry, tz.country and tz.unpackCountry. - tz._countries is similar to tz._zones and is where all the country data can be accessed, - tz.addCountry is used to add a new country(should not be needed as all IANA countries exist), - tz.addZonetoCountry is to add a new zone to an existing """,feature,feature,0,0
"""multilabel classification: """"AL: PSSM Cascade Viz"""" tool-button --- Adds a debug toggle for the script-exposed global found https://github.com/GarageGames/Torque3D/blob/c152ae86f3f09b3c1d736954b352723d274582f1/Engine/source/lighting/advanced/advancedLightBinManager.cpp#L168 """,feature,feature,0,0
multilabel classification: DXTnm Parallax OGL implementation --- Companion PR to #719 to add the OGL side implementation ,feature,feature,0,0
multilabel classification: Wrong version of jest-cli is executed when jest is installed next to an existing install of jest-cli --- ,bug,bug,0,0
"""multilabel classification: test_series_generic is too slow --- In Debug mode it takes 8s on my computer, while every other test takes < 0.1s. This should be fixed to run in 0.1s or less, if at all possible.   """,performance,performance,1,1
multilabel classification: Add country to the Zone object --- Sorry if I misunderstanding the way to use the library. I have a requirement to get the country code from the time zone name (for example `US` would correspond to `America/Los_Angeles`. Currently the country is not percolating through in the `Zone` object as described here:    Am I missing something? Is it possible to put a request to add it?  Thanks. ,feature,feature,0,0
multilabel classification: wiredep doesn't get bower files injected after app is generated for first time --- ,bug,bug,0,0
"""multilabel classification: Massive performance drop in test_blacklisted_characters --- While testing some other changes, I stumbled across the fact that `test_blacklisted_characters` now takes a very long time to run.    This can be seen in https://travis-ci.org/HypothesisWorks/hypothesis/jobs/504749908, and seems to be linked to #1846 in some way.""",performance,performance,1,1
multilabel classification: \HH\Asio\curl_exec takes 100% cpu while waiting if no other work being awaited --- ,performance,performance,1,1
multilabel classification: Build failed: mvn clean test sonar:sonar due missing TESTS-results-sonar.xml --- ,bug,bug,0,0
"""multilabel classification: Could use an nn_list_node_remove_nocheck() --- nni_list_node_remove() removes a list node from the list, but includes a check to ensure that the list is already on the node.     There are cases on the hot code path where this safety check is not needed, and eliminating it would save a conditional branch.  Since conditional branches are *expensive* (pipeline stalls), elimination of this can be a significant net win.    Even better, we could make this a macro, and inline it.""",performance,feature,0,1
"""multilabel classification: Tests fail to run in a VirtualBox synced folder with a Windows guest VM, cannot find module 'source-map-support' --- """,bug,bug,0,0
"""multilabel classification: Entity type blob with MySQL DB only allows to store 65,535 bytes of data --- """,bug,performance,1,0
"""multilabel classification: initial work towards generic weighting&encoding ('more flexible' work) --- See [the forum](https://discuss.graphhopper.com/t/more-flexibility-in-gh/71) for more discussion.  There are lots of TODOs and currently no integration tests, so it is not time to merge but to play around for you. You can currently configure the average speed of the highways the (car-like) vehicle should use. E.g. overwrite residential, tertiary and secondary via [this request](http://localhost:8989/?point=52.462913%2C13.387871&point=52.529486%2C13.399372&vehicle=generic&weighting=generic&highways.secondary=35&highways.tertiary=30&highways.residential=30). """,feature,feature,0,0
"""multilabel classification: Efficient path for unique collections --- This special-cases `lists(sampled_from(...), unique_by=...)` with an algorithm adapted from `permutations()`.  Using a shuffle instead of rejection sampling means each element can be considered once; in turn this means that the size of the collection is not capped by our inability to find any remaining elements.    Closes #1617.""",performance,performance,1,1
"""multilabel classification: Added gui functionality for vehicle re-mapping as per #950 --- Added vehicle re-mapping functionality for the vehicle movements (forward, backward, brake).  Essentially just added a branched functionality if re-mapped functionality is vehicular without affecting the original functionality. Please let me know if there is anything to change.""",feature,feature,0,0
"""multilabel classification: There seems to have some problem with cacheBuster, it always gives 400 Bad Request --- """,bug,bug,0,0
multilabel classification: Grunt test fail when OAuth2 and spring-websocket are selected --- ,bug,bug,0,0
multilabel classification: Grunt test fails after adding a new language (version 2.18) --- ,bug,bug,0,0
"""multilabel classification: Quantization code performance. --- Hi,  I need to use this on arm. I read the tiny_quantized_conv2d_kernel code, but it seems a brute_force one without using gemmlowp. Meanwhile, tiny-dnn seems only support the fc layer with gemmlowp. How can this play an amazing performance?    Thanks""",performance,performance,1,1
"""multilabel classification: Unix timestamp in stats/requests --- I'm polling the JSON block in stats/requests, but I'm creating my own Unix time:  https://github.com/bbc/locust-load-tests/blob/master/tests/lib/stats.py#L30  I wondered if you can add the Unix time to the API to avoid any time lag issues that may occur.  """,feature,performance,1,0
multilabel classification: Cached account data should be force loading on main page ??? --- ,bug,feature,0,0
"""multilabel classification: Initial commit for the new base template. --- Replaces the Empty and Full templates with a new, re-factored Base Template. """,feature,feature,0,0
multilabel classification: [Bug]  babel-jest throws if `only` in babel.config.js excludes current file --- ,bug,bug,0,0
multilabel classification: Hazelcast for hibernate cache: the user can't log in --- ,bug,bug,0,0
"""multilabel classification: macOS pthread locks *hurt* --- Apple, in their infinite wisdom, has seen fit to provide fairness guarantees on pthread locks, such that an application will be badly penalized for dropping and reacquiring a mutex.  This has been measured to have impacts of up to 20 us in the local IPC latency test just adding a single uncontended mutex.    We didn't design with fairness in mind, and instead expect that pthread locks are *cheap*.    There is an undocumented lock, os_unfair_lock (and documented but deprecated OSSpinLock), which is superior on this platform for our needs (extremely cheap locking).    It looks like we need to create a darwin platform proper that uses these locks, but we will need to think about how to make this work with condition variables.    Note that this isn't required for *functionality*, but this change may be needed to make it work *performantly* on macOS.    Some links for reference:    https://developer.apple.com/legacy/library/documentation/Darwin/Reference/ManPages/man3/spinlock.3.html    htt""",performance,performance,1,1
multilabel classification: How to refresh token while using x-auth-token based authentication? --- ,bug,feature,0,0
"""multilabel classification: Allow to block area per request --- This PR intents to improve #789. You can either block areas (given as BBox), points (closest edge from Lat,Lng), or by edge_id.    This is currently implemented only for the GenericWeighting, as my Approach is to inject the Weighting and change the weight of certain edges.    Here is an example. This is the unblocked route:  ![block_nothing](https://cloud.githubusercontent.com/assets/1553525/20655025/aca2463c-b572-11e6-854b-af483048b919.png)    This is the route with the black area blocked:  ![blocked_area](https://cloud.githubusercontent.com/assets/1553525/20655035/c6f89c84-b572-11e6-8f43-62336d8f9435.png)    This is the route with the black area and black point blocked:  ![blocked_area_point](https://cloud.githubusercontent.com/assets/1553525/20655034/c36a75f6-b572-11e6-8394-70b48d0b3690.png)    All three cases can be seen in the new Integration test.    Things we might want to add:    - Returned the blocked edge ids, this would allow us to cache the blocked edges for further request""",feature,feature,0,0
multilabel classification: Security issue with tracking logged in users with websocket --- ,bug,bug,0,0
"""multilabel classification: Jedi hangs for a long time with DataFrame containing timestamps --- Hi! Neat tool, thanks for publishing it and maintaining it.    I'm using jedi `0.10.2`. Python `3.6`, and Jupyter Notebook `5` and ipython `6`.    **Quick summary**    * Completions take upwards of 30 seconds with a DataFrame with 1Mrow and 2 columns, if one of the columns is a timestamp.  * The runtime scales with the number of rows in the DataFrame.  * Waiting 30 seconds or more for completions is too long - during which time no other computation can take place.  * If you interrupt the kernel during jupyter doing the completion, the kernel dies - leading to dataloss and inconvenience (maybe this is a jupyter notebook or ipython bug?).  * It was tricky to figure out this was a jedi problem. It felt for a long time like a jupyter or ipython problem.  * Sending `KeyboardInterrupt` during a manual `Interpreter()` invocation reveals that jedi is running `df.values`, which takes many seconds to run for the aforementioned DataFrame (maybe this is a pandas bug?).    ---    Since I've upgrade""",performance,performance,1,1
"""multilabel classification: Enum's values are not displayed correctly with a """"_"""" --- """,bug,bug,0,0
"""multilabel classification: Slow completion for existing object with long `__repr__` method --- Hi,    For completion with existing objects it seems that the `__repr__()` method is evaluated for an error message within the inspect module which is afterward caught. This makes the completion as slow as `__repr__()` while this evaluation in unnecessary for the user. This method can bee rather slow with big pandas objects or custom class.    This as been seen here :  [qtconsole issue #90](https://github.com/jupyter/qtconsole/issues/90)    A minimal code to reproduce it :      And a more convenient working version :      Jedi seems to end here through jedi/evaluate/compiled/mixed.py, line 121.  Maybe making checks before the calling `inspect.getsourcefile()` could fix it, but not I don't know jedi enough to claim it.""",performance,performance,1,1
multilabel classification: --findRelatedTests failed to resolve typescript modules declared in declaration files --- ,bug,bug,0,0
multilabel classification: [Bug] Impossible to delete users that have oauth2 tokens associated with them --- ,bug,bug,0,0
multilabel classification: Performance is quite down after new refactoring and extension approach ---   Thinking about making two variants: - super fast but not so easy to extend - highly extensible but a bit slower ,performance,performance,1,1
multilabel classification: @WithMockOAuth2Authentication doesn't work due to a security fix from spring --- ,bug,bug,0,0
multilabel classification: AbstractAuditingEntity not working for update for entities with dto --- ,bug,bug,0,0
multilabel classification: Missing import in DTO when use option Blob in entity Generator --- ,bug,bug,0,0
"""multilabel classification: Feature request: on_quit() --- There is a way to define a method that executes when a task set starts; ie, on_start().  It would be useful to have a similar method, on_quit() when the task set is terminated.  I want my task set to share a common identifier. I create this in on_start(). A side effect of the tests is to create an artifact with this identifier in the name. When the tests terminate, I want the artifact to be deleted.  I've tried using the events.on_quitting event for this. However, as far as I can tell, this is called in the context of the Locust object, not in the context of the task itself. """,feature,feature,0,0
"""multilabel classification: Obtain the last block's length without having to create it --- This eliminates the one call site that was causing `Block` allocation during generation, after #1830.    (It was originally a part of #1862, but I pulled it out here because it's a perfectly fine incremental improvement on its own.)    In theory this could enable some simplifications of the lazy block management code, but in practice I haven't actually investigated any of those yet.""",performance,feature,0,1
multilabel classification: CSRF Issue in Version 2.25 with Hazelcast session replication --- ,bug,bug,0,0
"""multilabel classification: High memory usage concern --- I could run example_cifar_train program with Win32 build in the past. (around 8227365f4c40fcb4d3b0d1e7f6a171f363370dd1)  But now (23c64be6e155d6056e8289c6e570759a26d4088a), example_cifar_train program throws an exception.  call stack   main     train_cifar10       network<sequential>::train         network<sequential>::normalize_tensor           aligned_allocator<double,64>::allocate  The cause is high memory usage. The number of training images in The CIFAR-10 dataset is 50000 and the size of each image is 32 x 32. So memory consumption for input std::vector<vec_t> is 50000 x 32(w) x 32(h) x 3(ch) x 8(double). In total, it is roughly 1.14GiB.  And recently(from 97ac8364349088dee1afdd86b613a237a1fe19d8) network::train converts inputs argument into input_tensor local variable, so it probablly means memory usage is more than doubled.  I can workaround the problem with 64-bit build, but I hope memory footprint will be reduced. """,performance,performance,1,1
multilabel classification: Add a duk_harray fast path to the internal duk_unpack_array_like() helper --- The helper is used by bound function and .apply() handling. Tasks:    - [x] Add the basic fast path  - [x] Conditional: doesn't do Array.prototype index lookups (technically noncompliant); low memory  - [x] Releases,performance,feature,0,1
"""multilabel classification: Jest notify option error """"Jest did not exit..."""" and no coverage summary --- """,bug,bug,0,0
multilabel classification: Add explicit duk_hdecenv and duk_objenv scope objects --- Previously generic objects were used for declarative and object environments. Using specific duk_hobject subclasses is faster because the internal control properties don't need to be looked up using ordinary property lookups but are directly accessible within the struct. Also optimize some other minor scope handling code.    Tasks:  - [x] Resolve FIXMEs  - [x] Check if object environment this_binding could be reduced to a provide this_binding flag  - [x] Fix bytecode dump/load fallout  - [x] Fix ROM built-ins fallout (without inherit option)  - [x] Add artificial debugger object inspection properties  - [x] Fix other debugger fallout  - [x] Internal documentation fixes (e.g. debugger artificial properties)  - [x] Manual perf measurements  - [x] Rename objenv->with_this?  - [x] Releases entry,performance,feature,0,1
multilabel classification: [Feature] Close Event --- How to close sweet alert without clicking confirm button? Is there available close event or am I missing? e.g.:   ,feature,feature,0,0
"""multilabel classification: Expose an on_hatch event? And/or hatch number (e.g. we just hatched user number X) as well --- The API docs mention a `hatch_complete` event hook. That's useful but I don't always care to know about all users started (could monitor from other metrics in the test environment).    What could be useful to me is a way to track a hatch event, to do something on hatch.     On a related note, it would also be helpful to know what each hatched user's number is (when they hatched as in I'm user number X). Helpful for data association to users based on ID/number. You don't always want to do it randomly, sometimes yes.    So, could we get an `on_hatch` event hook?     What would be nice also would be if we could get whatever locust uses to track the current hatch count (or equivalent) available as an attribute to read from. Something like JMeter's thread number/count property where in code you can figure out which user/thread number you are for whatever load logic you are trying to do. (e.g. `self.locust.hatch_number`)""",feature,feature,0,0
"""multilabel classification: Polygon for blocked areas --- This PR allows block areas to support polygons (discuss [here](https://discuss.graphhopper.com/t/polygon-for-blocked-areas/1464) and [here](https://discuss.graphhopper.com/t/restricted-routing-zones-specified-by-a-polygon/2318/10))    How this works (it's in Portuguese, Centro means Center):  ![poligono](https://user-images.githubusercontent.com/3869224/37092921-4fd44f08-21ec-11e8-9a68-24aecb510719.gif)      """,feature,feature,0,0
multilabel classification: allow negative lights --- This allow use different color lights    Old PR by Daniel: https://github.com/GarageGames/Torque3D/pull/430  https://www.garagegames.com/community/forums/viewthread/132593  https://github.com/crabmusket/Torque3D/commits/allow-negative-lights,feature,feature,0,0
multilabel classification: TestScheduler does not follow order of projects in config --- ,bug,bug,0,0
multilabel classification: Deploying fresh app to Openshift I get an error with NPM INSTALL --- ,bug,bug,0,0
"""multilabel classification: URL_PREFIX feature for web UI? --- Hi,  Is it possible to add a --url-prefix option for the web ui, so that proxy setups can run the web ui under a sub-url? We want to run locust proxied behind our https server, which proxies other services like @Jahaja 's ps-dash, and to do this requires any assets being loaded to be fetched either relative to ./ or full-pathed under a known prefix.  Thanks, Jeff """,feature,feature,0,0
"""multilabel classification: Make duk_hstring charlen lazy --- For most strings the character length (`.length`) is not accessed. It's currently precomputed which slows down every string intern operation. Change that behavior so that the character length is computed lazily when it is first needed.    Tasks:  - [x] Change charlen and intern handling  - [x] Test effect in practice  - [x] Because of footprint impact, maybe make lazy/strict behavior optional => follow-up  - [x] Releases entry""",performance,performance,1,1
multilabel classification: Implementation of guiRenderTargetVizCtrl --- Implementation of guiRenderTargetVizCtrl which allows you to feed a render target and have it display.    Also added a gui to the editor that can open a window and has a drop-down selection of named targets that can be viewed.,feature,feature,0,0
"""multilabel classification: Eliminate socket filters on message queues --- The message queue filter code is a bit slow, and should be removed.  The only consumer of this at present is the old SUB framework, which could use it's own internal code to do subscription filtering.  This would let us remove this lock and save overall performance for the vast majority of use cases.""",performance,performance,1,1
multilabel classification: Issues with deploying app on AWS - No Solution Stack named '64bit Amazon Linux 2015.03 v1.4.1 running Tomcat 8 Java 8' found --- ,bug,bug,0,0
multilabel classification: Build in Jenkins failing with or without root (npm VS docker) --- ,bug,bug,0,0
